Location,Site Name,Province_code,Description,Base Price,FET,Provincial Taxes,Price Ex GST/HST,GST/HST(%),PST(%),Tot Cust Price,Effective Date
6025,SASKATOON HUSKY,SK,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.47903,.1,.2163,.79533,.03977,0,.8351,10/29/20
6025,SASKATOON HUSKY,SK,UNLEADED PREMIUM (90 OR 91 OCTANE),.58903,.1,.2163,.90533,.04527,0,.9506,10/29/20
6025,SASKATOON HUSKY,SK,DIESEL 2 ULSD (LED),.52488,.04,.2305,.79538,.03977,0,.83515,10/29/20
6035,MOOSEJAW HUSKY ,SK,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),-.03922,.1,.2163,.27708,.01385,0,.29093,10/29/20
6035,MOOSEJAW HUSKY ,SK,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.47978,.1,.2163,.79608,.0398,0,.83588,10/29/20
6035,MOOSEJAW HUSKY ,SK,DIESEL 2 ULSD (LED),.52638,.04,.2305,.79688,.03984,0,.83672,10/29/20
6035,MOOSEJAW HUSKY ,SK,ETHANOL UNLEADED PREMIUM (90 OR 91 OCTANE),.58978,.1,.2163,.90608,.0453,0,.95138,10/29/20
6081,PARK ST HUSKY M,SK,DIESEL 2 ULSD (LED),.52104,.04,.2305,.79154,.03958,0,.83112,10/29/20
6081,PARK ST HUSKY M,SK,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.51455,.1,.2163,.83085,.04154,0,.87239,10/29/20
6081,PARK ST HUSKY M,SK,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.47455,.1,.2163,.79085,.03954,0,.83039,10/29/20
6081,PARK ST HUSKY M,SK,ETHANOL UNLEADED PREMIUM (90 OR 91 OCTANE),.58455,.1,.2163,.90085,.04504,0,.94589,10/29/20
6823,REGINA BP      ,SK,UNLEADED REGULAR (86 OR 87 OCTANE),.474,.1,.2163,.7903,.03952,0,.82982,10/29/20
6823,REGINA BP      ,SK,UNLEADED PREMIUM (90 OR 91 OCTANE),.584,.1,.2163,.9003,.04502,0,.94532,10/29/20
6823,REGINA BP      ,SK,UNLEADED MID GRADE (88 OR 89 OCTANE),.671,.1,.2163,.9873,.04937,0,1.03667,10/29/20
6823,REGINA BP      ,SK,DIESEL 2 ULSD (LED),.519,.04,.2305,.7895,.03948,0,.82898,10/29/20
6823,REGINA BP      ,SK,ETHANOL UNLEADED PREMIUM (90 OR 91 OCTANE),.584,.1,.2163,.9003,.04502,0,.94532,10/29/20
6823,REGINA BP      ,SK,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.474,.1,.2163,.7903,.03952,0,.82982,10/29/20
6823,REGINA BP      ,SK,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.514,.1,.2163,.8303,.04152,0,.87182,10/29/20
6823,REGINA BP      ,SK,DIESEL EXHAUST FLUID PUMP,.71982,,0,.71982,.03599,.04319,.799,10/29/20
6823,REGINA BP      ,SK,DIESEL #2 ULTRA-LOW SULFUR - DYED (NON-TAXABLE),.519,.04,.1105,.6695,.03348,0,.70298,10/29/20
6827,REGINA HUSKY TC,SK,DIESEL 2 ULSD (LED),.51926,.04,.2305,.78976,.03949,0,.82925,10/29/20
6827,REGINA HUSKY TC,SK,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.47354,.1,.2163,.78984,.03949,0,.82933,10/29/20
6827,REGINA HUSKY TC,SK,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.51354,.1,.2163,.82984,.04149,0,.87133,10/29/20
6827,REGINA HUSKY TC,SK,DIESEL EXHAUST FLUID PUMP,.71982,,0,.71982,.03599,.04319,.799,10/29/20
6827,REGINA HUSKY TC,SK,UNLEADED PREMIUM (90 OR 91 OCTANE),.58354,.1,.2163,.89984,.04499,0,.94483,10/29/20
7995,SWIFT CURRENT H,SK,UNLEADED PREMIUM (90 OR 91 OCTANE),.59576,.1,.2163,.91206,.0456,0,.95766,10/29/20
7995,SWIFT CURRENT H,SK,DIESEL 2 ULSD (LED),.53315,.04,.2305,.80365,.04018,0,.84383,10/29/20
7995,SWIFT CURRENT H,SK,ETHANOL UNLEADED REGULAR (86 OR 87 OCTANE),.48576,.1,.2163,.80206,.0401,0,.84216,10/29/20
7995,SWIFT CURRENT H,SK,ETHANOL UNLEADED MID GRADE (88 OR 89 OCTANE),.52576,.1,.2163,.84206,.0421,0,.88416,10/29/20
7995,SWIFT CURRENT H,SK,DIESEL EXHAUST FLUID PUMP,.71982,,0,.71982,.03599,.04319,.799,10/29/20
